z,rho_benzene,rho_ethanol,rho_copper,n_benzene,n_ethanol
0.125000,0.000000,0.000000,37.987422,0.000000,0.000000
0.375000,0.000000,0.000000,0.000000,0.000000,0.000000
0.625000,0.000000,0.000000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000,0.000000,0.000000
1.125000,0.000000,0.000000,0.000000,0.000000,0.000000
1.375000,0.000000,0.000000,0.000000,0.000000,0.000000
1.625000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.000000,0.000000,30.014753,0.000000,0.000000
2.125000,0.000000,0.000000,0.000000,0.000000,0.000000
2.375000,0.000000,0.000000,0.000000,0.000000,0.000000
2.625000,0.000000,0.000000,0.000000,0.000000,0.000000
2.875000,0.000000,0.000000,0.000000,0.000000,0.000000
3.125000,0.000000,0.000000,0.000000,0.000000,0.000000
3.375000,0.000000,0.000000,0.000000,0.000000,0.000000
3.625000,0.000000,0.000000,37.987422,0.000000,0.000000
3.875000,0.000000,0.000000,0.000000,0.000000,0.000000
4.125000,0.000000,0.000000,0.000000,0.000000,0.000000
4.375000,0.000000,0.000000,0.000000,0.000000,0.000000
4.625000,0.000000,0.000000,0.000000,0.000000,0.000000
4.875000,0.000000,0.000000,0.000000,0.000000,0.000000
5.125000,0.000000,0.000000,0.000000,0.000000,0.000000
5.375000,0.000000,0.000000,30.014753,0.000000,0.000000
5.625000,0.000000,0.000000,0.000000,0.000000,0.000000
5.875000,0.000000,0.000000,0.000000,0.000000,0.000000
6.125000,0.000000,0.000000,0.000000,0.000000,0.000000
6.375000,0.000000,0.000000,0.000000,0.000000,0.000000
6.625000,0.000000,0.000000,0.000000,0.000000,0.000000
6.875000,0.000000,0.000000,0.000000,0.000000,0.000000
7.125000,0.000000,0.000000,37.987422,0.000000,0.000000
7.375000,0.000000,0.000004,0.000000,0.000000,0.000000
7.625000,0.000004,0.000022,0.000000,0.000000,0.000000
7.875000,0.000041,0.000063,0.000000,0.000000,0.000000
